FAO_code,Latin,English,Spanish,French
avj,Arachnopusia inchoata,,,
avk,Austrodecus simulans,,,
avl,Algansea lacustris,Pátzcuaro chub,Acúmara,
avm,Ammodytes americanus,American sand lance,,Lançon d'Amérique
avn,Aptocyclus ventricosus,Smooth lumpsucker,,
avo,Anoplagonus inermis,Smooth alligatorfish,,
avp,Andriashevia aptera,,,
avq,Acanthurus sohal,Sohal surgeonfish,,
avr,Aprion virescens,Green jobfish,Pargo verde,Vivaneau job
avs,Alepocephalus australis,Small scaled brown slickhead,,
avt,Anotopterus vorax,Southern ocean daggertooth,,
avu,Agonopsis vulsa,Northern spearnose poacher,,
avv,Astrotoma agassizii,,,
avx,Atherina spp,Sand smelts nei,Pejerreyes mediterráneos nep,
avy,Aprion spp,,,
avz,Asteronyx loveni,,,
awa,Awaous aeneofuscus,,,
awb,Gymnothorax bacalladoi,Canary moray,Murión,Murène canarienne
awc,Astrothorax waitei,Waite’s snake-star,,
awd,Andrias davidianus,Chinese giant salamander,,
awe,Atractoscion aequidens,Geelbek croaker,Corvinata prieta,Téraglin
awf,Acestrorhynchus microlepis,Pike characin,,
awg,Gymnothorax afer,Dark moray,Morena oscura,Murène obscure
awh,Acanthoplesiops hiatti,,,
awi,Aluterus schoepfii,Orange filefish,Lija naranja,Bourse orange
awk,Serrivomer spp,Sawtooth eels nei,,
awm,Enchelycore anatina,Fangtooth moray,Morena isleña,Murène des îles
awn,Artedidraco loennbergi,,,
awo,Artedidraco orianae,,,
awp,Aspistor parkeri,Gillbacker sea catfish,Bagre amarillo,Mâchoiron jaune
awr,Amphiarius rugispinis,Softhead sea catfish,Bagre tumbeló,Mâchoiron petite-gueule
aws,Artedidraco shackletoni,,,
awt,Chalcalburnus tarichi,Tarek,,
awx,Arius spp,,,
awy,Arius phrygiatus,Kukwari sea catfish,Bagre mucuro,Mâchoiron kukwari
awz,Anodus elongatus,,,
axa,Axoclinus carminalis,Carmine triplefin,,
axb,Cancelloxus burrelli,Slender platanna-klipfish,,
axc,Xenodermichthys copei,Bluntsnout smooth-head,,
axd,Aplocheilus panchax,Blue panchax,,
axe,Ammocryptocharax elegans,,,
axf,Astyanax fasciatus,Banded astyanax,Colirroja,
axg,Carcinoplax longimanus,Long-armed crab,,
axh,Adioryx hastatus,Red squirrelfish,,
axi,Axelrodia riesei,,,
axj,Ascidia challengeri,,,
axk,Austropallene brachyura,,,
axl,Acanthosphex leurynnis,,,
axm,Asymbolus spp,,,
axn,Paralabrax nebulifer,Barred sand bass,,
axo,Axiopsis baronai,Baron mud lobster,Langosta peluda del baron,Langouste poilue du baron
axp,Arius proops,Crucifix sea catfish,Bagre piedrero,Mâchoiron crucifix
axq,Acanthurus spp,,,
axr,Aristeus spp,Aristeus shrimps nei,Camarones Aristeus nep,Crevettes Aristeus
axs,Asterropteryx ensiferus,Miller's damsel,,
axt,Stylasteridae,Hydrocorals,Corales de encaje,Hydrocoralliaires
axu,Aplidiopsis discoveryi,,,
axy,Aphyocharax erythrurus,Flametail tetra,,
axz,Gymnothorax spp,,,
aya,Euastacus armatus,Australian crayfish,Cangrejo de río de Australia,Écrevisse d'Australie
ayb,Asterophysus batrachus,,,
ayc,Chologaster cornuta,Swampfish,,
ayd,Bathyprion danae,Fangtooth smooth-head,,
aye,Apterygocampus epinnulatus,,,
ayf,Aphareus furca,Small toothed jobfish,Pargo boquidulce,Vivaneau tidents
ayg,Anyperodon leucogrammicus,Slender grouper,Mero elegante,Mérou élégant
ayh,Aphyocypris chinensis,Chinese bleak,,
ayi,Daysciaena albida,Bengal corvina,,
ayj,Amblypomacentrus breviceps,Black-banded demoiselle,,
ayk,Trachemys scripta,Common slider,,
ayl,Auchenipterichthys longimanus,,,
aym,Bathytroctes microlepis,Smallscale smooth-head,,
ayn,Bathylaco nielseni,,,
ayp,Ammocrypta clara,Western sand darter,,
ayq,Ameghinomya antiqua,King's littleneck,,
ayr,Acyrtus artius,Papillate clingfish,,
ays,"Astacidae, Cambaridae",Euro-American crayfishes nei,Cangrejos de río nep,Écrevisses euro-américain.
ayt,Allomycterus pilatus,Deep-water burrfish,,
ayu,Ammocrypta pellucida,Eastern sand darter,,
ayv,Aphyonus brevidorsalis,,,
ayw,Malaclemys terrapin,Diamondback terrapins,,
ayx,Acanthicus hystrix,,,
ayy,Acyrtops beryllinus,Emerald clingfish,,
ayz,Austrolycus depressiceps,,,
aza,Anduzedoras arleoi,,,
azc,Acanthogorgia armata,,,
azd,Antarcturus oryx,,,
aze,Azurina eupalama,Galapagos damsel,,
azg,Argobuccinum argus,,Caracol palo palo,
azh,Anaecypris hispanica,,Jarabugo,
azj,Arcturides cornutus,,,
azl,Acodontaster elongatus,,,
azn,Anthoathecatae,"Hydroids, hydromedusae",,
azo,Aciculites pulchra,Maroon pimpled ear sponge,,
azp,Azygopus pinnifasciatus,Banded-fin flounder,,
azq,Callyspongia ramosa,Airy finger sponge,,
azr,Acestrorhynchidae,,,
azs,Aspistor quadriscutis,Bressou sea catfish,Bagre bresú,Mâchoiron bressou
azt,Artedidraco mirus,,,
azx,Aphareus spp,,,
bab,Sphyraena genie,Blackfin barracuda,,
bac,Sphyraena jello,Pickhandle barracuda,Picuda serpentina,Bécune jello
bad,Austrobatrachus dussumieri,Flat toadfish,,
bae,Balaenopteridae,Balaenoptid whales nei,Rorcuales nep,
baf,Ablennes hians,Flat needlefish,Agujón sable,Orphie plate
bag,Sphyraena afra,Guinean barracuda,Espetón de Guinea,Bécune guinéenne
bah,Paralichthys olivaceus,Bastard halibut,Falso halibut del Japón,Cardeau hirame
bai,Batoidimorpha(Hypotremata),Batoid fishes nei,Peces batoideos nep,Batoïdes
baj,Lateolabrax japonicus,Japanese seabass,Serránido japonés,Bar du Japon
bak,Barbuligobius boehlkei,,,
bal,Hemiramphus brasiliensis,Ballyhoo halfbeak,Agujeta brasileña,Demi-bec brésilien
bam,Bathyraja maccaini,McCain's skate,Raya de McCain,Raie de McCain
ban,Sphyraena putnamae,,,
bao,Platax teira,Longfin batfish,,
bap,Paralabrax humeralis,Peruvian rock seabass,Cabrilla loca,Serran cabrilla
baq,Sphyraena flavicauda,Yellowtail barracuda,,
bar,Sphyraena spp,Barracudas nei,Picudas nep,Bécunes
bas,Serranus spp,Combers nei,Serranos nep,Serrans
bat,Platax spp,Batfishes,Dalapuganos,Poules d'eau
bau,Sarda australis,Australian bonito,Bonito austral,Bonite bagnard
bav,Bractechlamys vexillum,Distant scallop,,Pétoncle étendard
baw,Berardius arnuxii,Arnoux's beaked whale,Ballenato de Arnoux,Béradien d'Arnoux
bax,Paralichthys spp,Bastard halibuts nei,Falsos halibuts nep,Cardeaux
bay,Amphichthys cryptocentrus,Bocon toadfish,Sapo bocón,Crapaud goulu
baz,Sphyraenidae,"Barracudas, etc. nei","Barracudas, picudas, nep","Bécunes, barracudas,"
bba,Barbonymus altus,Red tailed tinfoil,,
bbb,Barbus bynni,,,
bbc,Barboides gracilis,,,
bbd,Batrachomoeus occidentalis,Western frogfish,,
bbe,Bathylagus euryops,Goiter blacksmelt,,
bbf,Barbourisia rufa,Velvet whalefish,,
bbg,Bathylagus gracilis,,,
bbh,Alosa aestivalis,Blueback shad,Sábalo del Canadá,Alose d'été du Canada
bbi,Barbus altidorsalis,,,
bbj,Barbus capensis,Clanwilliam yellowfish,,
bbk,Barbus callensis,Algerian barb,,
bbl,Batrachoides liberiensis,Hairy toadfish,,
bbm,Scomberomorus semifasciatus,Broad-barred king mackerel,Carite tigre,Thazard tigré
bbn,Barbus aeneus,Smallmouth yellowfish,,
bbo,Bathylagus ochotensis,Eared blacksmelt,,
bbp,Bathylagus pacificus,Slender blacksmelt,,
bbq,Barbus canis,,,
bbr,Barbodes balleroides,,,
bbs,Scorpaena porcus,Black scorpionfish,Rascacio,Rascasse brune
bbt,Barbodes platysoma,,,
bbu,Barbus altianalis,Ripon barbel,,
bbv,Barbopsis devecchii,Somalian blind barb,,
bbw,Mesoplodon densirostris,Blainville's beaked whale,Zifio de Blainville,Baleine à bec de Blainville
bbx,Bifax lacinia,Two-faced toadfish,,
bby,Batrichthys albofasciatus,White-ribbed toadfish,,
bbz,Barbus cyclolepis,,,
bca,Chandramara chandramara,,,
bcb,Odontesthes bonariensis,Argentinian silverside,Pejerrey de Argentina,Athérine d'Argentine
bcc,Bryconaethiops boulengeri,,,
bce,Brycinus leuciscus,,,
bcf,Bothrocarina microcephala,,,
bcg,Chrysichthys grandis,Kukumai,,
bch,Chatrabus damaranus,Pony toadfish,,
bci,Chrysichthys cranchii,Kokuni,,
bcj,Chrysichthys ornatus,Ornate bagrid,,
bck,Baileychromis centropomoides,,,
bcl,Saxidomus giganteus,Butter clam,Almeja amarilla,Coque jaune
bcm,Brycon moorei,Dorada,,
bcn,Chrysichthys longipinnis,Aluminum catfish,,
bco,Brycinus longipinnis,Longfin tetra,,
bcp,Buccinum humphreysianum,Humphrey's buccinum,Caracolillo de Humphrey,Buccin d'Humphrey
bcq,Bactronophorus thoracites,Edible shipworm,,Taret comestible
bcr,Chrysichthys brachynema,Kibonde,,
bcs,Chrysichthys mabusi,,,
bct,Chrysichthys maurus,,,
bcu,Brycinus luteus,,,
bcv,Bathymicrops brevianalis,,,
bcw,Ziphius cavirostris,Cuvier's beaked whale,Zifio de Cuvier,Ziphius
bcx,Clypeaster rotundus,Circular sea bisquit,Galleta de mar redonda,Galette de mer circulaire
bcy,Chrysichthys auratus,,,
bcz,Bostrichthys zonatus,Barred gudgeon,,
bda,Brachydanio acuticephala,,,
bdb,Badis badis,Badis,,
bdc,Bidenichthys capensis,Freetail brotula,,
bdd,Daector dowi,Dow's toadfish,,
bde,Bodianus eclancheri,Harlequin wrasse,,
bdf,Benthodesmus macrophthalmus,Bigeye frostfish,Cintilla ojigrande,Poisson-sabre gros yeux
bdg,Boridia grossidens,Borriqueta porgy,,
bdh,Bathydraco macrolepis,,,
bdi,Bodianus diplotaenia,Mexican hogfish,,
bdj,Bathydraco marri,Deep-water dragon,,
bdk,Balistoides conspicillum,Clown triggerfish,,
bdl,Benthodesmus elongatus,Elongate frostfish,Cintilla elongada,Poisson-sabre long
bdm,Pogonias cromis,Black drum,Corvinón negro,Grand tambour
bdn,Bathydraco antarcticus,,,
bdo,Blennodon dorsale,Giant triplefin,,
bdp,Brosmodorsalis persicinus,Pink brotula,,
bdq,Bodianus axillaris,Axilspot hogfish,,Labre à tache pectorale
bdr,Bodianus rufus,Spanish hogfish,,
bds,Betta splendens,Siamese fighting fish,,
bdt,Bodianus perditio,Golden-spot hogfish,,Labre de la perdition
bdu,Bathypterois dubius,Spiderfish,,
bdv,Bohadschia vitiensis,Brown sandfish,,Holothurie brune
bdw,Mesoplodon bowdoini,Andrews' beaked whale,Zifio de Andrews,Baleine à bec de Bowdoin
bdx,Bohadschia similis,Brownspotted sandfish,,
bdy,Bodianus spp,,,
bdz,Balistoides viridescens,Titan triggerfish,,Baliste olivâtre
bea,Bathyraja eatonii,Eaton's skate,Raya de Eaton,Raie d'Eaton
beb,Bagre bagre,Coco sea catfish,,
bec,Bagre pinnimaculatus,Red sea catfish,,
bed,Bertella idiomorpha,,,
bee,Benthalbella elongata,,,
bef,Belonepterygion fasciolatum,,,
beg,Pterygotrigla polyommata,Latchet(=Sharpbeak gurnard),Cabete picudo,Grondin pointu
beh,Benthodesmus spp,Frostfishes,,
bei,Bagre panamensis,Chilhuil sea catfish,,
bej,Boulengerochromis microlepis,Giant cichlid,,
bek,Blennioclinus brachycephalus,Lace klipfish,,
bel,Delphinapterus leucas,White whale,Beluga,Bélouga
bem,Bagre marinus,Gafftopsail sea catfish,,
ben,Belonidae,"Needlefishes, etc. nei","Agujones, maraos nep","Aiguilles, orphies"
beo,Blepsias bilobus,Crested sculpin,,
bep,Sarda chiliensis,Eastern Pacific bonito,Bonito del Pacífico oriental,Bonite du Pacifique oriental
beq,Barnea candida,White piddock,Barnea blanca,Pholade blanche
ber,Brachypterois serrulata,,,
bes,Belone spp,,,
bet,Thunnus obesus,Bigeye tuna,Patudo,Thon obèse(=Patudo)
beu,Belonophago hutsebouti,,,
bev,Bathypectinura heros,Deepsea brittle star,,
bew,Berardius bairdii,Baird's beaked whale,Zifio de Baird,Baleine à bec de Baird
bex,Buccinum spp,,,
bey,Bellapiscis lesleyae,Mottled twister,,
bez,Bero zanclus,,,
bfa,Brachynectes fasciatus,Southern barred triplefin,,
bfb,Benthophiloides brauneri,,,
bfc,Brephostoma carpenteri,,,
bfd,Bathydraco scotiae,,,
bfe,Brachyistius frenatus,Kelp perch,,
bff,Brachidontes purpuratus,,,
bfg,Blennophis anguillaris,Snaky klipfish,,
bfh,Brachidontes rodriguezii,,,
bfi,Boleophthalmus birdsongi,,,
bfj,Brachyrhaphis cascajalensis,,,
bfm,Bathycallionymus formosanus,,,
bfn,Barbulifer antennatus,Barbulifer,,
bfr,Benthophilus baeri,,,
bfs,Barbonymus schwanenfeldii,Tinfoil barb,,
bft,Thunnus thynnus,Atlantic bluefin tuna,Atún rojo del Atlántico,Thon rouge de l'Atlantique
bfu,Paragorgia arborea,Bubble gum coral,,
bfv,Paragorgia johnsoni,,,
bfw,Balaenoptera bonaerensis,Antarctic minke whale,Rorcual antártico,Petit rorqual antarctique
bfx,Bathysphyraenops simplex,,,
bfy,Bacillariophyceae,,,
bga,Aorichthys aor,,,
bgb,Belonoglanis brieni,,,
bgc,Gephyroglanis congicus,,,
bgd,Gnathobagrus depressus,,,
bge,Bagrus meridionalis,,,
bgf,Brachyglanis frenata,,,
bgg,Bagarius bagarius,Goonch,,
bgh,Bagrichthys hypselopterus,Blacklancer catfish,,
bgi,Bothragonus swanii,Rockhead,,
bgj,Bagrus bajad,Bayad,,
bgk,Bagrus docmak,Semutundu,,
bgl,Bagroides melapterus,,,
bgm,Bagrichthys macropterus,False black lancer,,
bgn,Bathygadus melanobranchus,Vaillant's grenadier,,
bgo,Bathygadus macrops,Bullseye grenadier,,
bgp,Bergiaria platana,,,
bgq,Bentheogennema borealis,Northern blunt-tail shrimp,,
bgr,Pomadasys incisus,Bastard grunt,Ronco mestizo,Grondeur métis
bgs,Bathyagonus alascanus,Gray starsnout,,
bgu,Bathygobius fuscus,Dusky frillgoby,,
bgv,Albula glossodonta,Roundjaw bonefish,Macabí boca redonda,Banane lèvre ronde
bgw,Mesoplodon europaeus,Gervais' beaked whale,Zifio de Gervais,Baleine à bec de Gervais
bgx,Pomadasys spp,,,
bgy,Bedotia geayi,,,
bgz,Pomadasys rogerii,Pigsnout grunt,Ronco trompudo,Grondeur nez de cochon
bha,Hemiramphus balao,Balao halfbeak,Agujeta balaju,Demi-bec balaou
bhb,Hemibagrus baramensis,,,
bhc,Bahaba chaptis,Chaptis bahaba,,
bhd,Halobatrachus didactylus,Lusitanian toadfish,Sapo lusitánico,Crapaud-lusitanien
bhe,Rheoglanis dendrophorus,,,
bhf,Bathysaurus ferox,Deep-sea lizardfish,,
bhg,Benthosema glaciale,Glacier lantern fish,Linterna oscura,Lanterne glaciaire
bhh,Brachionichthys hirsutus,,,
bhi,Brachyhypopomus beebei,,,
bhj,Bahaba taipingensis,Chinese bahaba,,
bhk,Brochis britskii,,,
bhl,Basilichthys australis,,,
bhm,Halophryne diemensis,Banded frogfish,,
bhn,Batrachocephalus mino,Beardless sea catfish,,
bho,Horabagrus brachysoma,,,
bhp,Basilichthys microlepidotus,,,
bhq,Benthosema pterotum,Skinnycheek lanternfish,,
bhs,Bhavania australis,,,
bht,Bhanotia fasciolata,,,
bhu,Platanista minor,Indus River dolphin,Platanista del Indus,Plataniste de l'Indus
bhv,Benthopecten pikei,Five-spined star,,
bhw,Mesoplodon hectori,Hector's beaked whale,Zifio de Hector,Baleine à bec d'Hector
bhx,Bathybates ferox,,,
bhy,Bathyraja spp,Bathyraja rays nei,Rayas Bathyraja nep,Raies Bathyraja
bhz,Brisingidae,Armless stars,,
bia,Cobitis aurata,Golden spined loach,,
bib,Trisopterus luscus,Pouting(=Bib),Faneca,Tacaud commun
bic,Hypophthalmichthys nobilis,Bighead carp,Carpa cabezona,Carpe à grosse tête
bid,Balistapus undulatus,Orange-lined triggerfish,,
bie,Biotoecus opercularis,,,
bif,Buenia affinis,De Buen's goby,,
big,Priacanthus spp,Bigeyes nei,Catalufas nep,Beauclaires
bih,Bairdiella ronchus,Ground croaker,,
bii,Bythites islandicus,,,
bij,Barbatia lurida,Lurid ark,Arca lurida,Arche luride
bik,Macrobrachium occidentale,Western river prawn,Cauque occidental,Bouquet occidental
bil,Istiophoridae,"Marlins,sailfishes,etc. nei","Agujas,marlines,peces vela nep","Makaires,marlins,voiliers"
bim,Cobitis maroccana,,,
bin,Bilabria ornata,,,
bio,Cobitis granoei,,,
bip,Sarda orientalis,Striped bonito,Bonito mono,Bonite oriental
biq,Benthesicymus tanneri,Tanner's deep-water shrimp,Camarón profundo de Tanner,Crevette profonde de Tanner
bir,Priacanthus macracanthus,Red bigeye,Catalufa del Pacífico,Beauclaire du Pacifique
bis,Selar crumenophthalmus,Bigeye scad,Chicharro ojón,Sélar coulisou
bit,Cobitis taenia,,,
biu,Bihunichthys monopteroides,,,
biv,Smilium zancleanum,Acorn barnacle,,
biw,Cobitis biwae,,,
bix,Balistes spp,,,
biy,Balistes polylepis,Finescale triggerfish,,
bja,Chaetobranchopsis australis,,,
bjb,Banjos banjos,,,
bjc,Bujurquina cordemadi,,,
bjd,Macrobrachium raridens,Volta river prawn,Camarón del Volta,Bouquet volta
bje,Macrobrachium rude,Hairy river prawn,Camarón de cerda,Bouquet velu
bjf,Abraliopsis pfefferi,Pfeffer's enope squid,Enoploluria de Pfeffer,Encornet de Pfeffer
bjg,Macrobrachium sintangense,Sunda river prawn,Camarón krakatoa,Bouquet krakatoa
bjh,Macrobrachium vollenhovenii,African river prawn,Camarón africano,Bouquet africain
bji,Lipotes vexillifer,Baiji,Platanista del Yangtze,Dauphin fluviatil de Chine
bjj,Macrobrachium trompii,Forest river prawn,Camarón guardabosque,Bouquet forestier
bjk,Brachaluteres jacksonianus,Pigmy leatherjacket,,
bjl,Macrobrachium tenellum,Longarm river prawn,Camarón brazolargo,Bouquet brasolarge
bjm,Macrobrachium scabriculum,Goda river prawn,Camarón goda,Bouquet goda
bjn,Brachyamblyopus anotus,,,
bjo,Bathygobius soporator,Frillfin goby,,
bjp,Macrobrachium pilimanus,Muff prawn,Camarón manguito,Bouquet manchon
bjq,Macrobrachium surinamicum,Suriname river prawn,Camarón del Suriname,Bouquet du Surinam
bjr,Bathyraja trachura,Roughtail skate,,
bjs,Bathyraja spinosissima,Spiny skate,,
bjt,Bathyraja trachouros,,,
bju,Labrichthys unilineatus,Tubelip wrasse,,
bjv,Bathyraja violacea,Okhotsk skate,,
bjw,Mesoplodon stejnegeri,Stejneger's beaked whale,Zifio de Stejneger,Baleine à bec de Stejneger
bjx,Barbatia spp,,,
bjy,Macrobrachium villosimanus,Dimua river prawn,Camarón dimúa,Bouquet dimua
bjz,Bathyraja tzinovskii,,,
bka,Macrobrachium jaroense,Jaro river prawn,Camarón jaro,Bouquet jaro
bkb,Macrobrachium macrobrachion,Brackish river prawn,Camarón salobreño,Bouquet saumâtre
bkc,Mylopharyngodon piceus,Black carp,Carpa negra,Carpe noire
bkd,Macrobrachium mammilodactylus,Knobtooth prawn,Camarón granuloso,Bouquet meule
bke,Macrobrachium lepidactyloides,Malayam scale prawn,Camarón escamoso malayo,Bouquet malais
bkf,Macrobrachium olfersii,Buchura river prawn,Camarón buchura,Bouquet buchura
bkg,Bleekeria gilli,Gill's sand lance,,
bkh,Macrobrachium ohione,Ohio river prawn,Camarón de Ohio,Bouquet ohio
bki,Macrobrachium intermedium,Striped river prawn,Camarón rayado,Bouquet rayé
bkj,Euthynnus lineatus,Black skipjack,Barrilete negro,Thonine noire
bkk,Macrobrachium jelskii,Agar river prawn,Camarón agareño,Bouquet agar
bkl,Macrobrachium lamarrei,Kuncho river prawn,Camarón kuncho,Bouquet kuncho
bkm,Bullockia maldonadoi,,,
bkn,Macrobrachium lanceifrons,Philippine river prawn,Camarón filipino,Bouquet philippin
bko,Macrobrachium hancocki,Hancock's river prawn,Cauque del Hancock,Bouquet de Hancock
bkp,Bostockia porosa,Nightfish,,
bkq,Macrobrachium patsa,Patsa river prawn,Camarón patsa,Bouquet patsa
bkr,Macrobrachium lar,Monkey river prawn,Camarón mono,Bouquet singe
bks,Macrobrachium latimanus,Mountain river prawn,Camarón montés,Bouquet montagne
bkt,Macrobrachium latidactylus,Scissor river prawn,Camarón tijera,Bouquet ciseaux
bku,Chascanopsetta crumenalis,,,
bkv,Macrobrachium javanicum,Java river prawn,Camarón javanés,Bouquet javanais
bkw,Brachionus plicatilis,,,
bkx,Brachionus rotundiformis,,,
bky,Macrobrachium lepidactylus,Madagascar scale prawn,Camarón escamoso malgache,Bouquet malgache
bkz,Brachionus calyciflorus,,,
bla,Barilius barna,,,
blb,Stromateus fiatola,Blue butterfish,Palometa fiatola,Fiatole
blc,Anadara granosa,Blood cockle,Arca del Pacífico occidental,Arche granuleuse
bld,Barilius bendelisis,,,
ble,Blenniidae,Combtooth blennies,Babosas,Blennies(=Baveuses)
blf,Thunnus atlanticus,Blackfin tuna,Atún aleta negra,Thon à nageoires noires
blg,Bathyclupea argentea,,,
blh,Leuroglossus schmidti,Northern smoothtounge,,
bli,Molva dypterygia,Blue ling,Maruca azul,Lingue bleue
blj,Abralia veranyi,Verany's enope squid,Enoploluria de Verany,Encornet de Verany
blk,Abralia andamanika,,,
bll,Scophthalmus rhombus,Brill,Rémol,Barbue
blm,Makaira indica,Black marlin,Aguja negra,Makaire noir
bln,Bulbonaricus brauni,Pugheaded pipefish,,
blo,Barilius bola,Trout barb,,
blp,Eleginops maclovinus,Patagonian blennie,Róbalo patagónico,Guite de Patagonie
blq,Bollmannia boqueronensis,White-eye goby,,
blr,Carcharhinus melanopterus,Blacktip reef shark,Tiburón de puntas negras,Requin pointes noires
bls,Anadara spp,Anadara clams nei,Arcas Anadara nep,Arches Anadara
blt,Auxis rochei,Bullet tuna,Melva(=Melvera),Bonitou
blu,Pomatomus saltatrix,Bluefish,Anjova,Tassergal
blv,Balistes vetula,Queen triggerfish,,
blw,Balaenoptera musculus,Blue whale,Ballena azul,Rorqual bleu
blx,Ballia callitricha,Ballia,Balia,Ballia
bly,Bellator brachychir,Shortfin searobin,,
bma,Bregmaceros atlanticus,Antenna codlet,,
bmb,Bryconamericus beta,,,
bmc,Mystus cavasius,Gangetic mystus,,
bmd,Hemibagrus wyckii,,,
bme,Bathypterois mediterraneus,Mediterranean spiderfish,,
bmf,Bathymaster caeruleofasciatus,Alaskan ronquil,,
bmg,Mystus gulio,Long whiskers catfish,,
bmh,Amarginops hildae,Hilda's grunter,,
bmi,Benthochromis tricoti,,,
bmj,Bembras japonicus,,,
bmk,Bolbometopon muricatum,Green humphead parrotfish,Loro cototo verde,Perroquet bossu vert
bml,Monolene antillarum,Slim flounder,,
bmm,Mystus micracanthus,Twospot catfish,,
bmn,Buccochromis atritaeniatus,,,
bmo,Latridopsis ciliaris,Blue moki,,
bmp,Biotodoma cupido,Greenstreaked eartheater,,
